task_id;csaf_id;playbook_id;twin;source;manual;detected_actions;actual_actions;actions_missing;missing_actions;useless_steps;matched_wrong_pattern;matched_no_pattern;nlp_error;nlp_error_information;update_step;investigation_step;locating_step;data_operation_step;isolation_step;access_action_step;system_action_step;set_entity_step;traffic_action_step;observe_behavior_step
62c3f0af99cf253386589061;62c3f0af99cf253386588bb0;62c44b404466fa24127b09c9;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;5;5;0;;0;0;0;0;;3;0;0;0;0;0;1;0;1;0
62c3f0af99cf253386588bae;62c3f0af99cf253386588945;62c44b404466fa24127b0858;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;2;0;;0;0;0;0;;2;0;0;0;0;0;0;0;0;0
62c3f0af99cf253386588943;62c3f0af99cf253386588527;62c44b404466fa24127b079d;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;3;3;0;;0;0;0;0;;1;0;0;0;0;0;1;0;1;0
62c3f0af99cf253386588525;62c3f0af99cf253386588485;62c44b3f4466fa24127b0652;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;4;0;;0;0;0;0;;2;0;0;0;0;0;2;0;0;0
62c3f0af99cf253386588483;62c3f0af99cf2533865882e7;62c44b3f4466fa24127b05f6;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;5;8;3;"Update to V4.8 HF6;  Deactivate the webserver if not required, and if deactivation is supported by the product; For SIMATIC Teleservice Adapters (IE Basic, IE Standard, IE Advanced): migrate to a successor product within the SCALANCE M-800 family. For details refer to the notice of discontinuation;  For SIMATIC RF182C and RFID 181EIP: migrate to a successor product within the SIMATIC RF18xC/CI family, V1.3 or later version. For details refer to the phase-out announcement";0;0;2;1;"Update to V3.X.16 [ ""SIMATIC S7-300 CPU family (incl. related ET200 CPUs and SIPLUS variants)"" ] (cut to V3)";4;0;0;0;0;1;0;0;0;0
62c3f0af99cf2533865882e5;62c3f0af99cf25338658815e;62c44b3f4466fa24127b0563;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;5;5;0;;0;0;0;1;"Update to V3.X.17 [ ""SIMATIC S7-300 CPU family (incl. related ET200 CPUs and SIPLUS variants)"" ] (cut to V3)";4;0;0;0;0;1;0;0;0;0
62c3f0af99cf25338658815c;62c3f0af99cf253386587d1d;62c44b3f4466fa24127b04d6;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;6;2;Apply Defense-in-Depth, For SIMATIC Teleservice Adapters (IE Basic, IE Advanced): migrate to a successor product within the SCALANCE M-800 family. For details refer to the notice of discontinuation.;0;0;2;0;;3;0;0;0;0;1;0;0;0;0
62c3f0af99cf253386587d1b;62c3f0af99cf253386587c01;62c44b3e4466fa24127b03be;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;5;3;"Disable SNMP in Versions 1 and 2c, if supported by the product.; Enable SNMP v3 if required and supported by the product to restrict the vulnerability to authenticated users.; Enable access protection and change default credentials for SNMP service, if possible";0;0;3;1;"Update to V3.X.17 [ ""SIMATIC S7-300 CPU family (incl. related ET200 CPUs and SIPLUS variants)"" ] (cut to V3)";1;0;0;0;0;1;0;0;0;0
62c3f0af99cf253386587bff;62c3f0af99cf253386587a50;62c44b3e4466fa24127b031b;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;13;17;4;"Disable SNMP if this is supported by the product (refer to the product documentation). Disabling SNMP fully mitigates the vulnerability.; Protect network access to port 161/udp of affected devices. ; Apply cell protection concept and implement Defense-in-Depth: https://www.siemens.com/cert/operational-guidelines-industrial-security.; Use VPN for protecting network communication between cells.";0;0;4;1;"Update to V3.X.16 [ ""SIMATIC S7-300 CPU family (incl. related ET200 CPUs and SIPLUS variants)"" ] (cut to v3)";13;0;0;0;0;0;0;0;0;0
62c3f0af99cf253386587a4e;62c3f0af99cf2533865878f2;62c44b3e4466fa24127b027f;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;2;1;As a prerequisite for an attack, an attacker must be able to run untrusted code on affected systems. Siemens recommends limiting the possibilities to run untrusted code if possible. (NO REAL ACTION INCLUDED);0;0;1;0;;1;0;0;0;0;0;0;0;0;0
